step,prompt_index,source_file,outcome_class,raw_prompt_outcome,proxy_bucket,reward_proxy,observability_score,consensus_score,weighted_observable_score,prompt_preview,numeric_answer_rate,z_numeric_answer_rate,text_answer_extract_rate,z_text_answer_extract_rate,execution_answer_recovery_rate,z_execution_answer_recovery_rate,execution_success_rate,z_execution_success_rate,answer_consensus_margin,z_answer_consensus_margin,mean_rollout_score,z_mean_rollout_score,answer_diversity_rate,z_answer_diversity_rate
1,0,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.49727059648838606,-1.2427086141762393,-0.8643047464932476,-1.1934872179697527,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.53125,-1.220277203591647,0.53125,-1.2214240500644893,0.53125,-1.220277203591647,0.53125,-1.294475148970534,0.375,-0.7671691313616515,1.5273437295109034,-1.6793715764505242,0.09375,0.11259415065854121
1,1,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.4826656796838155,-0.9751721314856939,-1.1695107069722006,-1.0234136686085165,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.59375,-0.9559772549455434,0.59375,-0.9569105543794493,0.59375,-0.9559772549455434,0.59375,-1.0194935270290924,0.28125,-1.0370559430079775,1.716145827434957,-1.3148116630159812,0.1875,1.3521351128190882
1,2,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.5813702769631369,-1.2427086141762393,-1.4585875806184543,-1.2899864219344994,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.53125,-1.220277203591647,0.53125,-1.2214240500644893,0.53125,-1.220277203591647,0.53125,-1.294475148970534,0.21875,-1.216980484105528,1.4934895755723119,-1.7447409106102385,0.21875,1.7653154335392702
1,3,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.47244071011735883,-1.1089403728309666,-0.9026279233117241,-1.081964602866005,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.5625,-1.088127229268595,0.5625,-1.0891673022219694,0.5625,-1.088127229268595,0.5625,-1.1569843379998133,0.375,-0.7671691313616515,1.6191406142897904,-1.502120027148284,0.125,0.5257744713787236
1,4,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.8069647263569343,-2.847927510319511,-1.3194358161487902,-2.5546233013526534,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.15625,-2.806076895468267,0.15625,-2.8085050241747296,0.15625,-2.806076895468267,0.15625,-2.9443648806191827,0.15625,-1.3969050252030788,0.9596354151144624,-2.775565401773846,0.03125,-0.7137664907818234
1,5,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.14983360141148808,-0.5738674074498761,0.10595005344314191,-0.4204993025525632,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.6875,-0.5595273319763884,0.6875,-0.5601403108518893,0.6875,-0.5595273319763884,0.6875,-0.6070210941169303,0.6875,0.13245357412610143,2.1699218656867743,-0.4386108419303143,0.03125,-0.7137664907818234
1,6,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.47172458752093926,-1.3764768555215119,-0.49671576336269097,-1.213554917850185,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.5,-1.3524271779146986,0.5,-1.3536807979070093,0.5,-1.3524271779146986,0.5,-1.4319659599412546,0.5,-0.4073200491665504,1.5364583106711507,-1.661772137909812,0.03125,-0.7137664907818234
1,7,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.7073348390476767,-2.312854544938421,-0.9398674322349453,-2.0348030887369233,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.28125,-2.2774769981760605,0.28125,-2.2794780328046493,0.28125,-2.2774769981760605,0.28125,-2.3944016367363,0.28125,-1.0370559430079775,1.335937493480742,-2.048959846947689,0.03125,-0.7137664907818234
1,8,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.39063388115750985,-1.1089403728309666,-0.3993286516181621,-0.9906036436272772,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.5625,-1.088127229268595,0.5625,-1.0891673022219694,0.5625,-1.088127229268595,0.5625,-1.1569843379998133,0.5625,-0.2273955080689998,1.533203087747097,-1.6680576813463077,0.03125,-0.7137664907818234
1,9,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.3736190796598729,-1.1089403728309666,-0.29970322765430946,-0.950753474041736,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.5625,-1.088127229268595,0.5625,-1.0891673022219694,0.5625,-1.088127229268595,0.5625,-1.1569843379998133,0.5625,-0.2273955080689998,1.7395833106711507,-1.269555985490897,0.03125,-0.7137664907818234
1,10,/Users/zhurui/Desktop/Chen_code/ttrl_opt/rollout_generations/1.jsonl,predicted_correct,major_true,not_even_sampled,-0.26134714074030246,-0.8414038901404215,-0.07566296837200312,-0.6771409408037173,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem",0.625,-0.8238272806224918,0.625,-0.8246538065369293,0.625,-0.8238272806224918,0.625,-0.8820027160583718,0.625,-0.04747096697144919,1.9986979104578495,-0.7692289387762831,0.03125,-0.7137664907818234
